id,text,category,product,flaw
refund_01,Refunds are issued within 5 business days to the original payment method once the returned item is received.,billing,payments,
refund_02,"To request a refund, open a ticket with your order number and reason; approved refunds post in 5 business days.",billing,payments,
ship_01,Standard shipping takes 3 to 5 business days. Express shipping is delivered the next business day.,shipping,logistics,
ship_02,Orders placed before 2 PM ship the same day. Tracking numbers are emailed once the carrier scans the parcel.,shipping,logistics,
warranty_01,The standard warranty covers manufacturing defects for 12 months from the purchase date.,warranty,hardware,
warranty_02,Warranty claims require the original receipt and a description of the defect submitted through the support portal.,warranty,hardware,
auth_01,API authentication uses OAuth2 bearer tokens. Tokens expire after 60 minutes and must be refreshed.,api,platform,
auth_02,"To rotate an API key, generate a new key in the console, update your client, then revoke the old key.",api,platform,
ratelimit_01,The default API rate limit is 100 requests per minute per key. Exceeding it returns HTTP 429.,api,platform,
password_01,"To reset your password, use the 'Forgot password' link; a reset email is valid for 30 minutes.",account,platform,
password_02,Passwords must be at least 12 characters and include a number and a symbol.,account,platform,
billing_cycle_01,Subscriptions renew monthly on the date of initial signup. Invoices are emailed the same day.,billing,payments,
refund_03,Refunds go back to your original payment method within five business days after we receive the returned item.,billing,payments,duplicates
refund_04,"Once the returned product reaches us, your refund is processed to the original payment method within 5 business days.",billing,payments,duplicates
gdpr_01,"Under GDPR, users may request deletion of their personal data; we complete verified deletion requests within 30 days.",compliance,platform,orphan_topic
mislabel_01,Late fees of 1.5 percent per month apply to overdue invoices that remain unpaid after 30 days.,shipping,payments,mislabeled
mixed_01,"Our office is open 9 to 5 on weekdays. Separately, the mobile app supports biometric login on iOS and Android. Also, bulk export of your data is available in CSV and JSON from the account settings page under 'Data'.",misc,platform,overlong
nometa_01,Gift cards never expire and can be applied to any order at checkout.,,payments,missing_meta
nometa_02,Referral credits are added to your account within 24 hours of your friend's first purchase.,,payments,missing_meta
collision_01,You can cancel your subscription at any time; access continues until the end of the current billing period.,billing,payments,collision
collision_02,You can cancel an order any time before it ships; access to the item ends immediately once cancelled.,shipping,logistics,collision
