id,text,endpoint,method,domain,aspect,version,status
pay_create_params,Create payment has no path or query parameters; all input is in the request body.,/v1/payments,POST,payments,params,v1,active
pay_create_request,"Create payment request body fields: amount (integer, minor units, required); currency (string, ISO-4217, required); customer_id (string, required); source (string, card or account token, required); description (string, optional); metadata (object, optional key-value pairs).",/v1/payments,POST,payments,request,v1,active
pay_create_response,"Create payment success response (201): id (string, payment id); status (string, one of authorized, captured, failed); amount (integer); currency (string); created_at (timestamp). Returns the created payment resource.",/v1/payments,POST,payments,response,v1,active
pay_create_errors,Create payment errors: 400 invalid_amount if amount <= 0; 402 card_declined if the source is refused; 409 duplicate_request if the idempotency key was already used; 422 missing_field for absent required fields.,/v1/payments,POST,payments,errors,v1,active
pay_refund_params,"Refund payment path parameter: id (string, required) — the payment id to refund. No query parameters.",/v1/payments/{id}/refund,POST,payments,params,v1,active
pay_refund_request,"Refund payment request body fields: amount (integer, optional; omit for a full refund, provide for partial); reason (string, optional, e.g. requested_by_customer, duplicate, fraudulent).",/v1/payments/{id}/refund,POST,payments,request,v1,active
pay_refund_response,"Refund payment success response (201): id (string, refund id); payment_id (string); amount (integer refunded); status (string, one of pending, succeeded, failed); created_at (timestamp).",/v1/payments/{id}/refund,POST,payments,response,v1,active
pay_refund_errors,Refund payment errors: 404 payment_not_found; 400 amount_exceeds_refundable if amount is larger than the remaining captured balance; 409 already_refunded if the payment was fully refunded.,/v1/payments/{id}/refund,POST,payments,errors,v1,active
pay_get_params,"Get payment path parameter: id (string, required). Optional query parameter expand (string) to inline related objects.",/v1/payments/{id},GET,payments,params,v1,active
pay_get_response,"Get payment response (200): id, status, amount, currency, customer_id, source, created_at, and a refunds array if any.",/v1/payments/{id},GET,payments,response,v1,active
pay_get_errors,Get payment errors: 404 payment_not_found if the id does not exist; 401 unauthorized if the token is missing or invalid.,/v1/payments/{id},GET,payments,errors,v1,active
card_issue_params,Issue card has no path or query parameters; input is in the request body.,/v1/cards,POST,cards,params,v1,active
card_issue_request,"Issue card request body: account_id (string, required); type (string, required, one of virtual, physical); cardholder_name (string, required); currency (string, ISO-4217, required); spending_limit (integer, optional, minor units).",/v1/cards,POST,cards,request,v1,active
card_issue_response,"Issue card response (201): id (string, card id); last4 (string); type (string); status (string, one of active, inactive); account_id (string); created_at (timestamp). Full PAN is never returned.",/v1/cards,POST,cards,response,v1,active
card_issue_errors,Issue card errors: 404 account_not_found; 422 missing_field; 403 kyc_incomplete if the account holder has not passed KYC.,/v1/cards,POST,cards,errors,v1,active
card_freeze_params,"Freeze card path parameter: id (string, required) — the card id to freeze. No request body.",/v1/cards/{id}/freeze,POST,cards,params,v1,active
card_freeze_response,"Freeze card response (200): id (string); status (string, will be frozen); frozen_at (timestamp).",/v1/cards/{id}/freeze,POST,cards,response,v1,active
card_freeze_errors,Freeze card errors: 404 card_not_found; 409 already_frozen if the card is already frozen.,/v1/cards/{id}/freeze,POST,cards,errors,v1,active
auth_token_request,"OAuth token request body (form-encoded): grant_type (string, required, e.g. client_credentials); client_id (string, required); client_secret (string, required); scope (string, optional, space-separated scopes).",/v1/oauth/token,POST,auth,request,v1,active
auth_token_response,"OAuth token response (200): access_token (string); token_type (string, Bearer); expires_in (integer seconds, e.g. 3600); scope (string, granted scopes).",/v1/oauth/token,POST,auth,response,v1,active
auth_token_errors,OAuth token errors: 400 invalid_request for malformed body; 401 invalid_client for bad client_id/secret; 400 unsupported_grant_type for an unknown grant_type.,/v1/oauth/token,POST,auth,errors,v1,active
pay_create_v2_request,"Create payment v2 request body: same as v1 (amount, currency, customer_id, source, description, metadata) plus a required Idempotency-Key header to safely retry without double-charging.",/v2/payments,POST,payments,request,v2,active
pay_create_v2_response,"Create payment v2 response (201): same fields as v1 create payment, plus idempotency_key echoed back.",/v2/payments,POST,payments,response,v2,active
